"利用日","利用店名・商品名","利用者","支払区分","利用金額","手数料","支払総額","当月支払金額","翌月以降繰越金額"
"2021/4/25","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1785","0","1785","1785","0"
"2021/4/25","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","801","0","801","801","0"
"2021/4/25","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1074","0","1074","1074","0"
"2021/4/26","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","133","0","133","133","0"
"2021/4/26","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","3247","0","3247","3247","0"
"2021/4/27","ﾍﾟｲﾍﾟｲ ｺｳﾎｸﾄｳｷｭｳ","本人*","1回","3460","0","3460","3460","0"
"2021/4/27","ﾍﾟｲﾍﾟｲ ﾀﾘｰｽﾞｺｰﾋｰ","本人*","1回","572","0","572","572","0"
"2021/4/28","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1915","0","1915","1915","0"
"2021/4/28","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","808","0","808","808","0"
"2021/4/29","ﾍﾟｲﾍﾟｲ ｸﾘｴｲﾄｴｽﾃﾞｨｰ","本人*","1回","972","0","972","972","0"
"2021/4/29","ﾍﾟｲﾍﾟｲ ﾀﾞｲｿｰ","本人*","1回","660","0","660","660","0"
"2021/4/29","ﾍﾟｲﾍﾟｲ ｸﾗｽﾞｼ","本人*","1回","3080","0","3080","3080","0"
"2021/4/30","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","1196","0","1196","1196","0"
"2021/4/30","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","657","0","657","657","0"
"2021/4/30","ﾍﾟｲﾍﾟｲ ﾁｬｰｼﾞ","本人*","1回","8063","0","8063","8063","0"
"2021/4/30","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","1043","0","1043","1043","0"
