"利用日","利用店名・商品名","利用者","支払区分","利用金額","手数料","支払総額","当月支払金額","翌月以降繰越金額"
"2020/12/1","ﾍﾟｲﾍﾟｲ ﾋﾞｯｸﾞﾖｰｻﾝ","本人*","1回","1594","0","1594","1594","0"
"2020/12/1","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","1085","0","1085","1085","0"
"2020/12/3","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","713","0","713","713","0"
"2020/12/3","ﾍﾟｲﾍﾟｲ ﾁｬｰｼﾞ","本人*","1回","10000","0","10000","10000","0"
"2020/12/5","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1549","0","1549","1549","0"
"2020/12/5","ﾍﾟｲﾍﾟｲ ﾎﾟﾝﾊﾟﾄﾞｳﾙ","本人*","1回","453","0","453","453","0"
"2020/12/6","ﾍﾟｲﾍﾟｲ ﾋﾞｯｸｶﾒﾗ","本人*","1回","186","0","186","186","0"
"2020/12/7","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","330","0","330","330","0"
"2020/12/7","ﾍﾟｲﾍﾟｲ ﾁｬｰｼﾞ","本人*","1回","10000","0","10000","10000","0"
"2020/12/9","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1058","0","1058","1058","0"
"2020/12/10","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","1091","0","1091","1091","0"
"2020/12/12","ﾍﾟｲﾍﾟｲ ﾁｬｰｼﾞ","本人*","1回","8000","0","8000","8000","0"
"2020/12/14","ﾍﾟｲﾍﾟｲ ﾕﾆｸﾛ","本人*","1回","11055","0","11055","11055","0"
"2020/12/15","ﾍﾟｲﾍﾟｲ ﾁｬｰｼﾞ","本人*","1回","10000","0","10000","10000","0"
"2020/12/17","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","290","0","290","290","0"
"2020/12/18","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","572","0","572","572","0"
"2020/12/18","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","105","0","105","105","0"
"2020/12/19","ﾍﾟｲﾍﾟｲ ﾀﾏﾌﾟﾗｰｻﾞ ﾃﾗｽ","本人*","1回","1617","0","1617","1617","0"
"2020/12/19","ﾍﾟｲﾍﾟｲ ﾁｬｰｼﾞ","本人*","1回","10000","0","10000","10000","0"
"2020/12/21","ﾍﾟｲﾍﾟｲ ﾁｬｰｼﾞ","本人*","1回","10000","0","10000","10000","0"
"2020/12/22","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","799","0","799","799","0"
"2020/12/22","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","2170","0","2170","2170","0"
"2020/12/23","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","173","0","173","173","0"
"2020/12/23","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","853","0","853","853","0"
"2020/12/24","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","275","0","275","275","0"
"2020/12/24","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","734","0","734","734","0"
"2020/12/25","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","2727","0","2727","2727","0"
"2020/12/25","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","937","0","937","937","0"
"2020/12/26","ﾍﾟｲﾍﾟｲ ﾀﾞｲｿｰ","本人*","1回","2310","0","2310","2310","0"
"2020/12/27","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","373","0","373","373","0"
"2020/12/28","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1200","0","1200","1200","0"
"2020/12/29","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","213","0","213","213","0"
"2020/12/29","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","821","0","821","821","0"
"2020/12/30","ﾍﾟｲﾍﾟｲ ﾁｬｰｼﾞ","本人*","1回","10000","0","10000","10000","0"
"2020/12/31","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1023","0","1023","1023","0"
"2020/12/31","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","2178","0","2178","2178","0"
"2020/12/31","ﾍﾟｲﾍﾟｲ ﾁｬｰｼﾞ","本人*","1回","10000","0","10000","10000","0"
