"利用日","利用店名・商品名","利用者","支払区分","利用金額","手数料","支払総額","当月支払金額","翌月以降繰越金額"
"2021/6/2","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","203","0","203","203","0"
"2021/6/2","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1860","0","1860","1860","0"
"2021/6/2","ﾍﾟｲﾍﾟｲ ﾁｬｰｼﾞ","本人*","1回","9284","0","9284","9284","0"
"2021/6/3","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","654","0","654","654","0"
"2021/6/3","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","189","0","189","189","0"
"2021/6/4","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","961","0","961","961","0"
"2021/6/4","ﾍﾟｲﾍﾟｲ ﾆｯﾎﾟﾝﾕｳﾋﾞﾝ","本人*","1回","84","0","84","84","0"
"2021/6/5","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","717","0","717","717","0"
"2021/6/5","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","879","0","879","879","0"
"2021/6/6","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","310","0","310","310","0"
"2021/6/6","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","267","0","267","267","0"
"2021/6/6","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","105","0","105","105","0"
"2021/6/6","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","1826","0","1826","1826","0"
"2021/6/7","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","101","0","101","101","0"
"2021/6/8","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","3092","0","3092","3092","0"
"2021/6/8","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","203","0","203","203","0"
"2021/6/8","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","2088","0","2088","2088","0"
"2021/6/9","ﾍﾟｲﾍﾟｲ ﾅｶｶﾞﾜｼﾞﾋﾞｲﾝｺｳ","本人*","1回","1080","0","1080","1080","0"
"2021/6/9","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","748","0","748","748","0"
"2021/6/10","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","488","0","488","488","0"
"2021/6/12","ﾍﾟｲﾍﾟｲ ﾛｰｿﾝ","本人*","1回","595","0","595","595","0"
"2021/6/13","ﾍﾟｲﾍﾟｲ ﾊﾞｲﾝﾐｰﾊﾞｰﾊﾞｰ","本人*","1回","1350","0","1350","1350","0"
"2021/6/14","ﾍﾟｲﾍﾟｲ ﾆｯﾎﾟﾝﾕｳﾋﾞﾝ","本人*","1回","140","0","140","140","0"
"2021/6/14","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","162","0","162","162","0"
"2021/6/17","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1383","0","1383","1383","0"
"2021/6/18","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","350","0","350","350","0"
"2021/6/18","ﾍﾟｲﾍﾟｲ ｸﾘｴｲﾄｴｽﾃﾞｨｰ","本人*","1回","842","0","842","842","0"
"2021/6/18","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","321","0","321","321","0"
"2021/6/21","ﾍﾟｲﾍﾟｲ ｱｽﾞﾏﾔﾄｳﾌﾃﾝ","本人*","1回","390","0","390","390","0"
"2021/6/22","ﾍﾟｲﾍﾟｲ ﾌｧﾐﾘｰﾏｰﾄ","本人*","1回","180","0","180","180","0"
"2021/6/22","ﾍﾟｲﾍﾟｲ ﾆｯﾎﾟﾝﾕｳﾋﾞﾝ","本人*","1回","809","0","809","809","0"
"2021/6/22","ﾍﾟｲﾍﾟｲ ﾆｯﾎﾟﾝﾕｳﾋﾞﾝ","本人*","1回","21","0","21","21","0"
"2021/6/23","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","101","0","101","101","0"
"2021/6/24","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","469","0","469","469","0"
"2021/6/24","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","993","0","993","993","0"
