"利用日","利用店名・商品名","利用者","支払区分","利用金額","手数料","支払総額","当月支払金額","翌月以降繰越金額"
"2020/4/3","ﾍﾟｲﾍﾟｲ ｼｮｸｾｲｶﾂﾗﾌﾞﾗﾌﾞ","本人*","1回","386","0","386","386","0"
"2020/4/3","ﾍﾟｲﾍﾟｲ ｼｮｸｾｲｶﾂﾗﾌﾞﾗﾌﾞ","本人*","1回","6138","0","6138","6138","0"
"2020/4/3","ﾍﾟｲﾍﾟｲ ﾊﾝｷｭｳﾊﾝｼﾝﾋｬｯｶ","本人*","1回","972","0","972","972","0"
"2020/4/4","ﾍﾟｲﾍﾟｲ ﾀﾏﾌﾟﾗｰｻﾞ ﾃﾗｽ","本人*","1回","99","0","99","99","0"
"2020/4/6","ﾍﾟｲﾍﾟｲ ｼｮｸｾｲｶﾂﾗﾌﾞﾗﾌﾞ","本人*","1回","13763","0","13763","13763","0"
"2020/4/7","ﾍﾟｲﾍﾟｲ ﾌﾞｯｸｵﾌ","本人*","1回","1790","0","1790","1790","0"
"2020/4/9","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","442","0","442","442","0"
"2020/4/14","ﾍﾟｲﾍﾟｲ ﾋﾞｯｸﾞﾖｰｻﾝ","本人*","1回","8433","0","8433","8433","0"
"2020/4/15","ﾍﾟｲﾍﾟｲ ﾀﾞｲｿｰ","本人*","1回","495","0","495","495","0"
"2020/4/15","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","3","0","3","3","0"
"2020/4/15","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","573","0","573","573","0"
"2020/4/15","ﾍﾟｲﾍﾟｲ ｼｮｸｾｲｶﾂﾗﾌﾞﾗﾌﾞ","本人*","1回","3637","0","3637","3637","0"
"2020/4/16","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","713","0","713","713","0"
"2020/4/17","ﾍﾟｲﾍﾟｲ ﾋﾞｯｸﾞﾖｰｻﾝ","本人*","1回","5487","0","5487","5487","0"
"2020/4/19","ﾍﾟｲﾍﾟｲ ｶﾌﾞｼｷｶﾞｲｼｬﾔﾏﾀ","本人*","1回","2791","0","2791","2791","0"
"2020/4/19","ﾍﾟｲﾍﾟｲ ﾄｳｷｭｳｽﾄｱ","本人*","1回","847","0","847","847","0"
"2020/4/21","ﾍﾟｲﾍﾟｲ ｵｰｹｰ","本人*","1回","7219","0","7219","7219","0"
"2020/4/21","ﾍﾟｲﾍﾟｲ ﾋﾞｯｸﾞﾖｰｻﾝ","本人*","1回","10039","0","10039","10039","0"
"2020/4/22","ﾍﾟｲﾍﾟｲ ｼｮｸｾｲｶﾂﾗﾌﾞﾗﾌﾞ","本人*","1回","3788","0","3788","3788","0"
"2020/4/24","ﾍﾟｲﾍﾟｲ ﾀﾞｲｿｰ","本人*","1回","330","0","330","330","0"
"2020/4/24","ﾍﾟｲﾍﾟｲ ｼｮｸｾｲｶﾂﾗﾌﾞﾗﾌﾞ","本人*","1回","3921","0","3921","3921","0"
"2020/4/25","ﾍﾟｲﾍﾟｲ ﾋﾞｯｸﾞﾖｰｻﾝ","本人*","1回","8236","0","8236","8236","0"
"2020/4/25","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","864","0","864","864","0"
"2020/4/27","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","170","0","170","170","0"
"2020/4/29","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","994","0","994","994","0"
"2020/4/30","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","2470","0","2470","2470","0"
"2020/4/30","ﾍﾟｲﾍﾟｲ ﾀﾞｲｿｰ","本人*","1回","385","0","385","385","0"
"2020/4/30","ﾍﾟｲﾍﾟｲ ﾎﾟﾝﾊﾟﾄﾞｳﾙ","本人*","1回","582","0","582","582","0"
"2020/4/30","ﾍﾟｲﾍﾟｲ ｼｮｸｾｲｶﾂﾗﾌﾞﾗﾌﾞ","本人*","1回","2431","0","2431","2431","0"
