"利用日","利用店名・商品名","利用者","支払区分","利用金額","手数料","支払総額","当月支払金額","翌月以降繰越金額"
"2021/3/1","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","3323","0","3323","3323","0"
"2021/3/1","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","415","0","415","415","0"
"2021/3/2","ﾍﾟｲﾍﾟｲ ﾀﾞｲｿｰ","本人*","1回","110","0","110","110","0"
"2021/3/2","ﾍﾟｲﾍﾟｲ ﾂﾂﾞｷﾚﾃﾞｨｽｸﾘﾆｯ","本人*","1回","3910","0","3910","3910","0"
"2021/3/3","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","788","0","788","788","0"
"2021/3/4","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","319","0","319","319","0"
"2021/3/4","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","680","0","680","680","0"
"2021/3/5","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1758","0","1758","1758","0"
"2021/3/6","ﾍﾟｲﾍﾟｲ ｳｴﾙｼｱｸﾞﾙｰﾌﾟ","本人*","1回","454","0","454","454","0"
"2021/3/6","ﾍﾟｲﾍﾟｲ ｺｳﾎｸﾄｳｷｭｳ","本人*","1回","572","0","572","572","0"
"2021/3/7","ﾍﾟｲﾍﾟｲ ｸﾗｽﾞｼ","本人*","1回","3553","0","3553","3553","0"
"2021/3/7","ﾍﾟｲﾍﾟｲ ﾌﾞｯｸｵﾌ","本人*","1回","990","0","990","990","0"
"2021/3/7","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","426","0","426","426","0"
"2021/3/8","ﾍﾟｲﾍﾟｲ ﾂﾂﾞｷﾚﾃﾞｨｽｸﾘﾆｯ","本人*","1回","1130","0","1130","1130","0"
"2021/3/10","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","287","0","287","287","0"
"2021/3/10","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","109","0","109","109","0"
"2021/3/10","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","384","0","384","384","0"
"2021/3/10","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","557","0","557","557","0"
"2021/3/11","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","946","0","946","946","0"
"2021/3/12","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","2297","0","2297","2297","0"
"2021/3/13","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","589","0","589","589","0"
"2021/3/13","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1070","0","1070","1070","0"
"2021/3/14","ﾍﾟｲﾍﾟｲ ﾗﾗﾎﾟｰﾄﾖｺﾊﾏ","本人*","1回","5140","0","5140","5140","0"
"2021/3/14","ﾍﾟｲﾍﾟｲ ﾗﾗﾎﾟｰﾄﾖｺﾊﾏ","本人*","1回","750","0","750","750","0"
"2021/3/14","ﾍﾟｲﾍﾟｲ ｱｶﾁｬﾝﾎﾝﾎﾟ","本人*","1回","712","0","712","712","0"
"2021/3/15","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1053","0","1053","1053","0"
"2021/3/16","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","2136","0","2136","2136","0"
"2021/3/16","ﾍﾟｲﾍﾟｲ ﾛｰｿﾝ","本人*","1回","150","0","150","150","0"
"2021/3/17","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1384","0","1384","1384","0"
