"利用日","利用店名・商品名","利用者","支払区分","利用金額","手数料","支払総額","当月支払金額","翌月以降繰越金額"
"2021/2/1","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","2773","0","2773","2773","0"
"2021/2/2","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1630","0","1630","1630","0"
"2021/2/2","ﾍﾟｲﾍﾟｲ ﾋﾞｯｸﾞﾖｰｻﾝ","本人*","1回","5931","0","5931","5931","0"
"2021/2/2","ﾍﾟｲﾍﾟｲ ﾋﾞｯｸﾞﾖｰｻﾝ","本人*","1回","2084","0","2084","2084","0"
"2021/2/3","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","321","0","321","321","0"
"2021/2/3","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","302","0","302","302","0"
"2021/2/4","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","3203","0","3203","3203","0"
"2021/2/4","ﾍﾟｲﾍﾟｲ ﾜｰﾙﾄﾞｺﾚﾂｨｵｰﾈ","本人*","1回","429","0","429","429","0"
"2021/2/4","ﾍﾟｲﾍﾟｲ ｳｴﾙｼｱｸﾞﾙｰﾌﾟ","本人*","1回","767","0","767","767","0"
"2021/2/4","ﾍﾟｲﾍﾟｲ ﾀﾞｲｿｰ","本人*","1回","440","0","440","440","0"
"2021/2/4","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","501","0","501","501","0"
"2021/2/5","ﾍﾟｲﾍﾟｲ ﾖｺﾊﾏﾔ","本人*","1回","1866","0","1866","1866","0"
"2021/2/5","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","2275","0","2275","2275","0"
"2021/2/6","ﾍﾟｲﾍﾟｲ ﾌﾞｯｸｵﾌ","本人*","1回","110","0","110","110","0"
"2021/2/6","ﾍﾟｲﾍﾟｲ ｹﾝﾀｯｷｰﾌﾗｲﾄﾞﾁｷ","本人*","1回","270","0","270","270","0"
"2021/2/6","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","761","0","761","761","0"
"2021/2/7","ﾍﾟｲﾍﾟｲ ｹﾝﾀｯｷｰﾌﾗｲﾄﾞﾁｷ","本人*","1回","270","0","270","270","0"
"2021/2/7","ﾍﾟｲﾍﾟｲ ﾀﾞｲｿｰ","本人*","1回","1754","0","1754","1754","0"
"2021/2/7","ﾍﾟｲﾍﾟｲ ﾎﾟﾝﾊﾟﾄﾞｳﾙ","本人*","1回","458","0","458","458","0"
"2021/2/8","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1280","0","1280","1280","0"
"2021/2/8","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","960","0","960","960","0"
"2021/2/9","ﾍﾟｲﾍﾟｲ ﾋﾞｯｸﾞﾖｰｻﾝ","本人*","1回","4438","0","4438","4438","0"
"2021/2/9","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","633","0","633","633","0"
"2021/2/9","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","531","0","531","531","0"
"2021/2/10","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","2786","0","2786","2786","0"
"2021/2/10","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","449","0","449","449","0"
"2021/2/11","ﾍﾟｲﾍﾟｲ ｽﾃｰｷｶﾞｽﾄ","本人*","1回","5934","0","5934","5934","0"
"2021/2/11","ﾍﾟｲﾍﾟｲ ｹﾞｵ","本人*","1回","396","0","396","396","0"
"2021/2/12","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","3815","0","3815","3815","0"
"2021/2/12","ﾍﾟｲﾍﾟｲ ﾋﾞｯｸﾞﾖｰｻﾝ","本人*","1回","7127","0","7127","7127","0"
"2021/2/13","ﾍﾟｲﾍﾟｲ ﾍｱｰｻﾛﾝ ﾊｰﾄ","本人*","1回","3300","0","3300","3300","0"
"2021/2/14","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1113","0","1113","1113","0"
"2021/2/15","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","2825","0","2825","2825","0"
"2021/2/16","ﾍﾟｲﾍﾟｲ ﾋﾞｯｸﾞﾖｰｻﾝ","本人*","1回","2968","0","2968","2968","0"
"2021/2/16","ﾍﾟｲﾍﾟｲ ﾀﾞｲｿｰ","本人*","1回","220","0","220","220","0"
"2021/2/16","ﾍﾟｲﾍﾟｲ ﾂﾂﾞｷﾚﾃﾞｨｽｸﾘﾆｯ","本人*","1回","3710","0","3710","3710","0"
"2021/2/17","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1952","0","1952","1952","0"
"2021/2/18","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1017","0","1017","1017","0"
"2021/2/18","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","947","0","947","947","0"
"2021/2/19","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1357","0","1357","1357","0"
"2021/2/20","ﾍﾟｲﾍﾟｲ ﾋﾞｯｸﾞﾖｰｻﾝ","本人*","1回","6553","0","6553","6553","0"
"2021/2/20","ﾍﾟｲﾍﾟｲ ﾕﾆｸﾛ","本人*","1回","550","0","550","550","0"
"2021/2/20","ﾍﾟｲﾍﾟｲ ｶﾏｸﾗﾊﾟｽﾀ","本人*","1回","3729","0","3729","3729","0"
"2021/2/21","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","4723","0","4723","4723","0"
