"利用日","利用店名・商品名","利用者","支払区分","利用金額","手数料","支払総額","当月支払金額","翌月以降繰越金額"
"2020/11/1","ﾍﾟｲﾍﾟｲ ﾁｬｰｼﾞ","本人*","1回","10000","0","10000","10000","0"
"2020/11/2","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","213","0","213","213","0"
"2020/11/2","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","873","0","873","873","0"
"2020/11/2","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","403","0","403","403","0"
"2020/11/3","ﾍﾟｲﾍﾟｲ ﾋﾞｯｸﾞﾖｰｻﾝ","本人*","1回","2574","0","2574","2574","0"
"2020/11/3","ﾍﾟｲﾍﾟｲ ﾁｬｰｼﾞ","本人*","1回","10000","0","10000","10000","0"
"2020/11/4","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","302","0","302","302","0"
"2020/11/4","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","570","0","570","570","0"
"2020/11/4","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","159","0","159","159","0"
"2020/11/5","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","673","0","673","673","0"
"2020/11/5","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","302","0","302","302","0"
"2020/11/5","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","127","0","127","127","0"
"2020/11/8","ﾍﾟｲﾍﾟｲ ﾚﾓﾈｰﾄﾞﾊﾞｲﾚﾓﾆｶ","本人*","1回","680","0","680","680","0"
"2020/11/8","ﾍﾟｲﾍﾟｲ ｸﾞﾘﾝｺｰﾋｰ ﾘｰﾄﾞ","本人*","1回","500","0","500","500","0"
"2020/11/9","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1377","0","1377","1377","0"
"2020/11/9","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","226","0","226","226","0"
"2020/11/10","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","855","0","855","855","0"
"2020/11/11","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","307","0","307","307","0"
"2020/11/11","ﾍﾟｲﾍﾟｲ ﾁｬｰｼﾞ","本人*","1回","10000","0","10000","10000","0"
"2020/11/13","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","502","0","502","502","0"
"2020/11/13","ﾍﾟｲﾍﾟｲ ﾋﾞｯｸﾞﾖｰｻﾝ","本人*","1回","5014","0","5014","5014","0"
"2020/11/14","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1418","0","1418","1418","0"
"2020/11/14","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","1298","0","1298","1298","0"
"2020/11/14","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","302","0","302","302","0"
"2020/11/16","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","585","0","585","585","0"
"2020/11/18","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","611","0","611","611","0"
"2020/11/18","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","234","0","234","234","0"
"2020/11/18","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","305","0","305","305","0"
"2020/11/19","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","203","0","203","203","0"
"2020/11/19","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1000","0","1000","1000","0"
"2020/11/20","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","1048","0","1048","1048","0"
"2020/11/20","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","582","0","582","582","0"
"2020/11/21","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","948","0","948","948","0"
"2020/11/21","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1002","0","1002","1002","0"
"2020/11/21","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","1835","0","1835","1835","0"
"2020/11/21","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","631","0","631","631","0"
"2020/11/21","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","302","0","302","302","0"
"2020/11/24","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","1073","0","1073","1073","0"
"2020/11/24","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","311","0","311","311","0"
"2020/11/25","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","972","0","972","972","0"
"2020/11/25","ﾍﾟｲﾍﾟｲ ﾁｬｰｼﾞ","本人*","1回","10000","0","10000","10000","0"
"2020/11/26","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","138","0","138","138","0"
"2020/11/26","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","262","0","262","262","0"
