"利用日","利用店名・商品名","利用者","支払区分","利用金額","手数料","支払総額","当月支払金額","翌月以降繰越金額"
"2021/5/2","ﾍﾟｲﾍﾟｲ ﾌｧﾐﾘｰﾏｰﾄ","本人*","1回","280","0","280","280","0"
"2021/5/2","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","310","0","310","310","0"
"2021/5/2","ﾍﾟｲﾍﾟｲ ｺｳﾎｸﾄｳｷｭｳ","本人*","1回","1553","0","1553","1553","0"
"2021/5/2","ﾍﾟｲﾍﾟｲ ｱｶﾁｬﾝﾎﾝﾎﾟ","本人*","1回","132","0","132","132","0"
"2021/5/2","ﾍﾟｲﾍﾟｲ ｳｴﾙｼｱｸﾞﾙｰﾌﾟ","本人*","1回","330","0","330","330","0"
"2021/5/2","ﾍﾟｲﾍﾟｲ ｺｳﾎｸﾄｳｷｭｳ","本人*","1回","2910","0","2910","2910","0"
"2021/5/3","ﾍﾟｲﾍﾟｲ ﾀﾞｲｿｰ","本人*","1回","330","0","330","330","0"
"2021/5/3","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","564","0","564","564","0"
"2021/5/4","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","423","0","423","423","0"
"2021/5/4","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ ｼﾞｭｰ","本人*","1回","560","0","560","560","0"
"2021/5/5","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","880","0","880","880","0"
"2021/5/5","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1305","0","1305","1305","0"
"2021/5/6","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1840","0","1840","1840","0"
"2021/5/7","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","1332","0","1332","1332","0"
"2021/5/7","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","740","0","740","740","0"
"2021/5/8","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1204","0","1204","1204","0"
"2021/5/9","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","745","0","745","745","0"
"2021/5/9","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","222","0","222","222","0"
"2021/5/9","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","729","0","729","729","0"
"2021/5/10","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","2153","0","2153","2153","0"
"2021/5/12","ﾍﾟｲﾍﾟｲ ﾌﾞｯｸﾌｧｰｽﾄ","本人*","1回","770","0","770","770","0"
"2021/5/12","ﾍﾟｲﾍﾟｲ ｸﾘｴｲﾄｴｽﾃﾞｨｰ","本人*","1回","3306","0","3306","3306","0"
"2021/5/12","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","547","0","547","547","0"
"2021/5/13","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","395","0","395","395","0"
"2021/5/14","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","436","0","436","436","0"
"2021/5/14","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","4362","0","4362","4362","0"
"2021/5/15","ﾍﾟｲﾍﾟｲ ｱｶﾁｬﾝﾎﾝﾎﾟ","本人*","1回","188","0","188","188","0"
"2021/5/15","ﾍﾟｲﾍﾟｲ ﾊﾞｹｯﾄ","本人*","1回","2665","0","2665","2665","0"
"2021/5/15","ﾍﾟｲﾍﾟｲ ﾐｽﾀｰﾄﾞｰﾅﾂ","本人*","1回","398","0","398","398","0"
"2021/5/16","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","2005","0","2005","2005","0"
"2021/5/16","ﾍﾟｲﾍﾟｲ ﾋﾞｯｸﾞﾖｰｻﾝ","本人*","1回","4757","0","4757","4757","0"
"2021/5/17","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","662","0","662","662","0"
"2021/5/17","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","673","0","673","673","0"
"2021/5/18","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","1716","0","1716","1716","0"
"2021/5/18","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1612","0","1612","1612","0"
"2021/5/19","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1747","0","1747","1747","0"
"2021/5/20","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","398","0","398","398","0"
"2021/5/20","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","2248","0","2248","2248","0"
"2021/5/20","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1587","0","1587","1587","0"
"2021/5/20","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","535","0","535","535","0"
"2021/5/21","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","630","0","630","630","0"
"2021/5/21","ﾍﾟｲﾍﾟｲ ﾆｯﾎﾟﾝﾕｳﾋﾞﾝ","本人*","1回","84","0","84","84","0"
"2021/5/21","ﾍﾟｲﾍﾟｲ ｺｳﾎｸﾄｳｷｭｳ","本人*","1回","783","0","783","783","0"
"2021/5/22","ﾍﾟｲﾍﾟｲ ﾊﾆｰｽﾞ","本人*","1回","480","0","480","480","0"
"2021/5/22","ﾍﾟｲﾍﾟｲ ｸﾘｴｲﾄｴｽﾃﾞｨｰ","本人*","1回","546","0","546","546","0"
"2021/5/22","ﾍﾟｲﾍﾟｲ ｼﾞｰﾕｰ","本人*","1回","1990","0","1990","1990","0"
"2021/5/22","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","241","0","241","241","0"
"2021/5/24","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","867","0","867","867","0"
"2021/5/24","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","617","0","617","617","0"
"2021/5/26","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","138","0","138","138","0"
"2021/5/26","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎﾟ","本人*","1回","797","0","797","797","0"
"2021/5/26","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人*","1回","1116","0","1116","1116","0"
"2021/5/27","ﾍﾟｲﾍﾟｲ ｸﾘｴｲﾄｴｽﾃﾞｨｰ","本人*","1回","5625","0","5625","5625","0"
"2021/5/27","ﾍﾟｲﾍﾟｲ ﾕﾆｸﾛ","本人*","1回","1580","0","1580","1580","0"
