"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","2月支払金額","3月繰越残高","新規サイン"
"2021/01/30","ﾊﾟﾃｲｽﾘ-ﾗ･ｳﾞｲ･ﾄﾞｳ","家族","1回払い","2138","0","2138","2138","0","*"
"2021/01/30","モザイクモール港北","家族","1回払い","510","0","510","510","0","*"
"2021/01/28","モバイル　Ｓｕｉｃａ","本人","1回払い","1000","0","1000","1000","0","*"
"2021/01/28","モバイル　Ｓｕｉｃａ","本人","1回払い","1000","0","1000","1000","0","*"
"2021/01/24","ﾆﾄﾘｶﾌｪ","家族","1回払い","150","0","150","150","0","*"
"2021/01/24","ニトリ","家族","1回払い","1551","0","1551","1551","0","*"
"2021/01/20","ﾄｳｷﾕｳﾋﾔﾂｶﾃﾝﾀﾏﾌﾟﾗ","家族","1回払い","1749","0","1749","1749","0","*"
"2021/01/19","モザイクモール港北","家族","1回払い","410","0","410","410","0","*"
"2021/01/16","SUICA MOBILE PAYMENT利用国JPN","家族","1回払い","5000","0","5000","5000","0","*"
"","現地利用額　　　　　　５０００．０００変換レート　　　１．０００円","","","","","","","",""
"2021/01/16","イオンリテール","家族","1回払い","3514","0","3514","3514","0","*"
"2021/01/15","ニトリ","家族","1回払い","1420","0","1420","1420","0","*"
"2021/01/13","APPLE COM BILL","本人","1回払い","400","0","400","400","0","*"
"2021/01/13","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","1968","0","1968","1968","0","*"
"2021/01/11","ニトリネット","本人","1回払い","61879","0","61879","61879","0","*"
"2021/01/10","モバイル　Ｓｕｉｃａ","本人","1回払い","1000","0","1000","1000","0","*"
"2021/01/10","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","本人","1回払い","4549","0","4549","4549","0","*"
"2021/01/10","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","本人","1回払い","1880","0","1880","1880","0","*"
"2021/01/10","イオンリテール","本人","1回払い","2278","0","2278","2278","0","*"
"2021/01/07","(ｶ) ﾆｼﾏﾂﾔﾁｴ-ﾝ","家族","1回払い","746","0","746","746","0","*"
"2021/01/05","ニトリ","家族","1回払い","1290","0","1290","1290","0","*"
"2021/01/04","ﾁﾔ-ﾙｽﾞｱﾝﾄﾞ","家族","1回払い","10890","0","10890","10890","0","*"
"2021/01/03","モバイル　Ｓｕｉｃａ","本人","1回払い","1000","0","1000","1000","0","*"
"2021/01/02","ｺｳﾎｸﾄｳｷﾕｳ ｴｽｼ-","家族","1回払い","808","0","808","808","0","*"
"2021/01/02","ﾏｸﾄﾞﾅﾙﾄﾞ","本人","1回払い","1190","0","1190","1190","0","*"
"2021/01/01","MYBﾅｶｶﾞﾜｴｷｷﾀ","家族","1回払い","373","0","373","373","0","*"
"2020/12/31","ＡＳＡＨＩネット","本人","1回払い","770","0","770","770","0","*"
