"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","6月支払金額","7月繰越残高","新規サイン"
"2020/05/31","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","家族","1回払い","2530","0","2530","2530","0","*"
"2020/05/26","APPLE COM BILL","家族","1回払い","130","0","130","130","0","*"
"2020/05/24","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","319","0","319","319","0","*"
"2020/05/24","ｴ-ﾋﾞ-ｼ-ﾏ-ﾄﾄﾞﾂﾄﾈﾂ","家族","1回払い","5259","0","5259","5259","0","*"
"2020/05/23","ユニクロジーユーオンライン","家族","1回払い","6094","0","6094","6094","0","*"
"2020/05/21","モザイクモール港北","家族","1回払い","1835","0","1835","1835","0","*"
"2020/05/18","AMZN DIGITAL*M77IZ9L利用国LUX","本人","1回払い","656","0","656","656","0","*"
"","現地利用額　　　　　　　６５６．０００変換レート　　　１．０００円","","","","","","","",""
"2020/05/15","AMZN DIGITAL*MC09K5R利用国LUX","本人","1回払い","108","0","108","108","0","*"
"","現地利用額　　　　　　　１０８．０００変換レート　　　１．０００円","","","","","","","",""
"2020/05/15","AMZN DIGITAL*MC1WJ2W利用国LUX","本人","1回払い","108","0","108","108","0","*"
"","現地利用額　　　　　　　１０８．０００変換レート　　　１．０００円","","","","","","","",""
"2020/05/15","AMZN DIGITAL*MC12Z3D利用国LUX","本人","1回払い","108","0","108","108","0","*"
"","現地利用額　　　　　　　１０８．０００変換レート　　　１．０００円","","","","","","","",""
"2020/05/15","AMZN DIGITAL*MC6LR2W利用国LUX","本人","1回払い","108","0","108","108","0","*"
"","現地利用額　　　　　　　１０８．０００変換レート　　　１．０００円","","","","","","","",""
"2020/05/15","AMZN DIGITAL*MC7VQ3R利用国LUX","本人","1回払い","108","0","108","108","0","*"
"","現地利用額　　　　　　　１０８．０００変換レート　　　１．０００円","","","","","","","",""
"2020/05/15","AMZN DIGITAL*MC77J7S利用国LUX","本人","1回払い","108","0","108","108","0","*"
"","現地利用額　　　　　　　１０８．０００変換レート　　　１．０００円","","","","","","","",""
"2020/05/15","AMZN DIGITAL*MC79E7R利用国LUX","本人","1回払い","561","0","561","561","0","*"
"","現地利用額　　　　　　　５６１．０００変換レート　　　１．０００円","","","","","","","",""
"2020/05/15","AMZN DIGITAL*MC8XG3R利用国LUX","本人","1回払い","108","0","108","108","0","*"
"","現地利用額　　　　　　　１０８．０００変換レート　　　１．０００円","","","","","","","",""
"2020/05/15","AMZN DIGITAL*MC9KA1D利用国LUX","本人","1回払い","108","0","108","108","0","*"
"","現地利用額　　　　　　　１０８．０００変換レート　　　１．０００円","","","","","","","",""
"2020/05/15","AMZN DIGITAL*MC9204R利用国LUX","本人","1回払い","108","0","108","108","0","*"
"","現地利用額　　　　　　　１０８．０００変換レート　　　１．０００円","","","","","","","",""
"2020/05/14","AMZN DIGITAL*MC58I78利用国USA","本人","1回払い","107","0","107","107","0","*"
"","現地利用額　　　　　　　　　０．９９０変換レート　１０８．０８１円","","","","","","","",""
"2020/05/14","AMZN DIGITAL*MC80599利用国USA","本人","1回払い","107","0","107","107","0","*"
"","現地利用額　　　　　　　　　０．９９０変換レート　１０８．０８１円","","","","","","","",""
"2020/05/14","AMZN DIGITAL*MC90Q69利用国LUX","本人","1回払い","108","0","108","108","0","*"
"","現地利用額　　　　　　　１０８．０００変換レート　　　１．０００円","","","","","","","",""
"2020/05/13","ニトリ","家族","1回払い","7913","0","7913","7913","0","*"
"2020/05/10","APPLE JAPAN INC","本人","1回払い","21780","0","21780","21780","0","*"
"2020/05/09","ﾌｲﾂﾄｹｱﾃﾞﾎﾟ ﾅｶｶﾞﾜ","家族","1回払い","327","0","327","327","0","*"
"2020/05/09","ﾎﾟﾝﾊﾟﾄﾞｳﾙｾﾝﾀ-ｷﾀﾃ","家族","1回払い","1214","0","1214","1214","0","*"
"2020/05/08","ｸﾘｴｲﾄ","家族","1回払い","349","0","349","349","0","*"
"2020/05/07","コ－ナン商事","家族","1回払い","578","0","578","578","0","*"
"2020/05/06","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","本人","1回払い","1946","0","1946","1946","0","*"
"2020/05/03","モザイクモール港北","家族","1回払い","410","0","410","410","0","*"
"2020/05/03","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","740","0","740","740","0","*"
"2020/05/02","ユニクロジーユーオンライン","家族","1回払い","5885","0","5885","5885","0","*"
"2020/05/02","APPLE COM BILL","本人","1回払い","130","0","130","130","0","*"
"2020/05/01","ｴ-ﾋﾞ-ｼ-ﾏ-ﾄﾄﾞﾂﾄﾈﾂ","家族","1回払い","10060","0","10060","10060","0","*"
"2020/05/01","ｴ-ﾋﾞ-ｼ-ﾏ-ﾄﾄﾞﾂﾄﾈﾂ","家族","1回払い","13529","0","13529","13529","0","*"
"2020/05/01","ニトリ","家族","1回払い","1673","0","1673","1673","0","*"
"2020/04/30","ＡＳＡＨＩネット","本人","1回払い","770","0","770","770","0","*"
