"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","4月支払金額","5月繰越残高","新規サイン"
"2021/03/31","ニトリ","家族","1回払い","1198","0","1198","1198","0","*"
"2021/03/30","ｼﾖｳﾜﾀﾞｲｶﾞｸﾖｺﾊﾏｼﾎ","家族","1回払い","2300","0","2300","2300","0","*"
"2021/03/29","SUICA MOBILE PAYMENT利用国JPN","家族","1回払い","5000","0","5000","5000","0","*"
"","現地利用額　　　　　　５０００．０００変換レート　　　１．０００円","","","","","","","",""
"2021/03/29","ベネッセコーポレーション","本人","1回払い","23760","0","23760","23760","0","*"
"2021/03/20","モザイクモール港北","本人","1回払い","1914","0","1914","1914","0","*"
"2021/03/16","ｼﾖｳﾜﾀﾞｲｶﾞｸﾖｺﾊﾏｼﾎ","家族","1回払い","7370","0","7370","7370","0","*"
"2021/03/14","SPOTIFY利用国SWE","本人","1回払い","980","0","980","980","0","*"
"","現地利用額　　　　　　　９８０．０００変換レート　　　１．０００円","","","","","","","",""
"2021/03/14","イオンリテール","家族","1回払い","2168","0","2168","2168","0","*"
"2021/03/14","モバイル　Ｓｕｉｃａ","本人","1回払い","1000","0","1000","1000","0","*"
"2021/03/14","モバイル　Ｓｕｉｃａ","本人","1回払い","1000","0","1000","1000","0","*"
"2021/03/13","APPLE COM BILL","本人","1回払い","400","0","400","400","0","*"
"2021/03/11","ｼﾖｳﾜﾀﾞｲｶﾞｸﾖｺﾊﾏｼﾎ","家族","1回払い","1610","0","1610","1610","0","*"
"2021/03/09","ｼﾖｳﾜﾀﾞｲｶﾞｸﾖｺﾊﾏｼﾎ","家族","1回払い","220","0","220","220","0","*"
"2021/03/07","(ｶ) ﾆｼﾏﾂﾔﾁｴ-ﾝ","家族","1回払い","966","0","966","966","0","*"
"2021/03/06","ｼﾔﾄﾚｰｾﾞ","家族","1回払い","896","0","896","896","0","*"
"2021/03/03","ﾜ-ﾙﾄﾞｵﾝﾗｲﾝｽﾄｱ","家族","1回払い","6700","0","6700","6700","0","*"
"2021/03/02","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","家族","1回払い","790","0","790","790","0","*"
"2021/02/28","ＡＳＡＨＩネット","本人","1回払い","770","0","770","770","0","*"
