"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","5月支払金額","6月繰越残高","新規サイン"
"2020/04/30","ｸﾘｴｲﾄ","家族","1回払い","779","0","779","779","0","*"
"2020/04/29","モザイクモール港北","家族","1回払い","483","0","483","483","0","*"
"2020/04/29","ユニクロジーユーオンライン","家族","1回払い","6567","0","6567","6567","0","*"
"2020/04/29","ベネッセコーポレーション","本人","1回払い","23760","0","23760","23760","0","*"
"2020/04/27","家電住まいる館ＹＡＭＡＤＡ港北","家族","1回払い","938","0","938","938","0","*"
"2020/04/26","APPLE COM BILL","家族","1回払い","130","0","130","130","0","*"
"2020/04/23","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","750","0","750","750","0","*"
"2020/04/19","ﾌｲﾂﾄｹｱﾃﾞﾎﾟ ｻﾌｱ-ﾚ","本人","1回払い","305","0","305","305","0","*"
"2020/04/19","コ－ナン商事","家族","1回払い","1130","0","1130","1130","0","*"
"2020/04/18","ニトリ","家族","1回払い","3338","0","3338","3338","0","*"
"2020/04/16","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","500","0","500","500","0","*"
"2020/04/12","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","2619","0","2619","2619","0","*"
"2020/04/12","ﾆﾎﾝｺﾞﾉｳﾘﾖｸｼｹﾝ","家族","1回払い","5500","0","5500","5500","0","*"
"2020/04/12","ニトリ","家族","1回払い","2064","0","2064","2064","0","*"
"2020/04/11","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","本人","1回払い","987","0","987","987","0","*"
"2020/04/10","ﾌｲﾂﾄｹｱﾃﾞﾎﾟ ｻﾌｱ-ﾚ","家族","1回払い","319","0","319","319","0","*"
"2020/04/10","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","375","0","375","375","0","*"
"2020/04/09","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","1523","0","1523","1523","0","*"
"2020/04/08","ﾌｲﾂﾄｹｱﾃﾞﾎﾟ ｻﾌｱ-ﾚ","本人","1回払い","1501","0","1501","1501","0","*"
"2020/04/07","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","家族","1回払い","6936","0","6936","6936","0","*"
"2020/04/07","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","873","0","873","873","0","*"
"2020/04/06","ニトリ","家族","1回払い","1965","0","1965","1965","0","*"
"2020/04/06","イオンリテール","家族","1回払い","1198","0","1198","1198","0","*"
"2020/04/04","ニトリ","本人","1回払い","8526","0","8526","8526","0","*"
"2020/04/04","ｶﾂｺｳﾎﾞｳﾜｺｳｱﾕﾐｶﾞｵ","本人","1回払い","2980","0","2980","2980","0","*"
"2020/04/03","イオンリテール","家族","1回払い","1762","0","1762","1762","0","*"
"2020/04/01","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","4465","0","4465","4465","0","*"
"2020/03/31","ＡＳＡＨＩネット","本人","1回払い","770","0","770","770","0","*"
"2020/03/30","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","4001","0","4001","4001","0","*"
