"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","8月支払金額","9月繰越残高","新規サイン"
"2021/07/30","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎ","本人","1回払い","766","0","766","766","0","*"
"2021/07/30","ｶ)ﾏﾙｴﾂ","本人","1回払い","3525","0","3525","3525","0","*"
"2021/07/28","MERCARI/AP利用国JPN","家族","1回払い","1700","0","1700","1700","0","*"
"","現地利用額　　　　　　１７００．０００変換レート　　　１．０００円","","","","","","","",""
"2021/07/27","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","1688","0","1688","1688","0","*"
"2021/07/27","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎ","本人","1回払い","1835","0","1835","1835","0","*"
"2021/07/27","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","203","0","203","203","0","*"
"2021/07/27","モバイル　Ｓｕｉｃａ","本人","1回払い","3000","0","3000","3000","0","*"
"2021/07/26","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","838","0","838","838","0","*"
"2021/07/25","モザイクモール港北","家族","1回払い","390","0","390","390","0","*"
"2021/07/25","モザイクモール港北","家族","1回払い","810","0","810","810","0","*"
"2021/07/25","ﾍﾟｲﾍﾟｲ ﾐｽﾀｰﾄﾞｰﾅﾂ","本人","1回払い","140","0","140","140","0","*"
"2021/07/25","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎ","本人","1回払い","149","0","149","149","0","*"
"2021/07/25","ﾍﾟｲﾍﾟｲ ﾀﾞｲｿｰ","本人","1回払い","440","0","440","440","0","*"
"2021/07/24","ﾍﾟｲﾍﾟｲ ﾅｶｶﾞﾜｼﾞﾋﾞ","本人","1回払い","610","0","610","610","0","*"
"2021/07/24","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","578","0","578","578","0","*"
"2021/07/23","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","991","0","991","991","0","*"
"2021/07/23","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ","本人","1回払い","1040","0","1040","1040","0","*"
"2021/07/22","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎ","本人","1回払い","1747","0","1747","1747","0","*"
"2021/07/22","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎ","本人","1回払い","333","0","333","333","0","*"
"2021/07/21","ﾍﾟｲﾍﾟｲ ｸﾘｴｲﾄｴｽﾃﾞ","本人","1回払い","1729","0","1729","1729","0","*"
"2021/07/21","ｶﾂｺｳﾎﾞｳﾜｺｳｱﾕﾐｶﾞｵ","本人","1回払い","320","0","320","320","0","*"
"2021/07/21","ｶﾂｺｳﾎﾞｳﾜｺｳｱﾕﾐｶﾞｵ","本人","1回払い","1010","0","1010","1010","0","*"
"2021/07/21","くら寿司モザイクモール港北店","本人","1回払い","3090","0","3090","3090","0","*"
"2021/07/20","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","3598","0","3598","3598","0","*"
"2021/07/20","ﾍﾟｲﾍﾟｲ ﾆｯﾎﾟﾝﾕｳﾋﾞ","本人","1回払い","36","0","36","36","0","*"
"2021/07/19","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","1813","0","1813","1813","0","*"
"2021/07/18","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎ","本人","1回払い","2386","0","2386","2386","0","*"
"2021/07/18","ニトリ","家族","1回払い","1700","0","1700","1700","0","*"
"2021/07/17","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎ","本人","1回払い","1425","0","1425","1425","0","*"
"2021/07/16","ｶ)ﾏﾙｴﾂ","本人","1回払い","269","0","269","269","0","*"
"2021/07/15","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","1746","0","1746","1746","0","*"
"2021/07/14","ﾍﾟｲﾍﾟｲ ﾌｧﾐﾘｰﾏｰﾄ","本人","1回払い","1050","0","1050","1050","0","*"
"2021/07/14","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","1692","0","1692","1692","0","*"
"2021/07/14","ﾍﾟｲﾍﾟｲ ﾌｧﾐﾘｰﾏｰﾄ","本人","1回払い","241","0","241","241","0","*"
"2021/07/13","ﾍﾟｲﾍﾟｲ ﾌｧﾐﾘｰﾏｰﾄ","本人","1回払い","21","0","21","21","0","*"
"2021/07/13","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","958","0","958","958","0","*"
"2021/07/13","APPLE COM BILL","本人","1回払い","400","0","400","400","0","*"
"2021/07/12","ﾍﾟｲﾍﾟｲ ｳｴﾙｼｱｸﾞﾙｰ","本人","1回払い","986","0","986","986","0","*"
"2021/07/12","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","394","0","394","394","0","*"
"2021/07/12","ｼﾖｳﾜﾀﾞｲｶﾞｸﾖｺﾊﾏｼﾎ","家族","1回払い","1000","0","1000","1000","0","*"
"2021/07/11","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ","本人","1回払い","620","0","620","620","0","*"
"2021/07/11","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","1086","0","1086","1086","0","*"
"2021/07/10","ﾍﾟｲﾍﾟｲ ﾎﾟﾝﾊﾟﾄﾞｳﾙ","本人","1回払い","388","0","388","388","0","*"
"2021/07/10","ﾍﾟｲﾍﾟｲ ｻﾝﾏﾙｸｶﾌｪ","本人","1回払い","850","0","850","850","0","*"
"2021/07/10","ﾍﾟｲﾍﾟｲ ﾀﾞｲｿｰ","本人","1回払い","1430","0","1430","1430","0","*"
"2021/07/10","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","家族","1回払い","690","0","690","690","0","*"
"2021/07/08","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","395","0","395","395","0","*"
"2021/07/07","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","70","0","70","70","0","*"
"2021/07/07","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","675","0","675","675","0","*"
"2021/07/07","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","624","0","624","624","0","*"
"2021/07/06","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","4452","0","4452","4452","0","*"
"2021/07/06","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","304","0","304","304","0","*"
"2021/07/06","ﾍﾟｲﾍﾟｲ ﾌｨｯﾄｹｱﾃﾞﾎ","本人","1回払い","2749","0","2749","2749","0","*"
"2021/07/05","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","749","0","749","749","0","*"
"2021/07/05","ﾍﾟｲﾍﾟｲ ﾌｧﾐﾘｰﾏｰﾄ","本人","1回払い","103","0","103","103","0","*"
"2021/07/04","ﾍﾟｲﾍﾟｲ ﾊﾟﾝｺｳﾎﾞｳ","本人","1回払い","880","0","880","880","0","*"
"2021/07/04","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","1261","0","1261","1261","0","*"
"2021/07/04","ﾍﾟｲﾍﾟｲ ｻﾝﾏﾙｸｶﾌｪ","本人","1回払い","600","0","600","600","0","*"
"2021/07/04","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","本人","1回払い","1100","0","1100","1100","0","*"
"2021/07/04","イオンリテール","本人","1回払い","4336","0","4336","4336","0","*"
"2021/07/03","ﾍﾟｲﾍﾟｲ ﾋﾞｯｸﾞﾖｰｻﾝ","本人","1回払い","6958","0","6958","6958","0","*"
"2021/07/02","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","本人","1回払い","1981","0","1981","1981","0","*"
"2021/06/30","ＡＳＡＨＩネット","本人","1回払い","770","0","770","770","0","*"
