"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","8月支払金額","9月繰越残高","新規サイン"
"2020/07/29","ﾍﾟｲﾍﾟｲ ｱｶﾁｬﾝﾎﾝﾎﾟ","家族","1回払い","360","0","360","360","0","*"
"2020/07/28","ｼﾖｳﾜﾀﾞｲｶﾞｸﾖｺﾊﾏｼﾎ","家族","1回払い","2810","0","2810","2810","0","*"
"2020/07/27","MSｾﾝﾀ-ﾐﾅﾐ","家族","1回払い","6560","0","6560","6560","0","*"
"2020/07/26","APPLE COM BILL","家族","1回払い","130","0","130","130","0","*"
"2020/07/26","SUICA MOBILE PAYMENT利用国JPN","本人","1回払い","1000","0","1000","1000","0","*"
"","現地利用額　　　　　　１０００．０００変換レート　　　１．０００円","","","","","","","",""
"2020/07/26","SUICA MOBILE PAYMENT利用国JPN","本人","1回払い","1000","0","1000","1000","0","*"
"","現地利用額　　　　　　１０００．０００変換レート　　　１．０００円","","","","","","","",""
"2020/07/21","ﾍﾟｲﾍﾟｲ ｲﾜｼﾊﾟﾝ","家族","1回払い","4000","0","4000","4000","0","*"
"2020/07/19","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","本人","1回払い","2662","0","2662","2662","0","*"
"2020/07/18","ﾍﾟｲﾍﾟｲ ﾏﾙｴﾂ","家族","1回払い","151","0","151","151","0","*"
"2020/07/14","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","606","0","606","606","0","*"
"2020/07/12","ﾍﾟｲﾍﾟｲ ｽﾃｰｷｶﾞｽﾄ","家族","1回払い","6650","0","6650","6650","0","*"
"2020/07/10","ﾍﾟｲﾍﾟｲ ﾎﾟﾝﾊﾟﾄﾞｳﾙ","家族","1回払い","259","0","259","259","0","*"
"2020/07/07","SUICA MOBILE PAYMENT利用国JPN","本人","1回払い","1000","0","1000","1000","0","*"
"","現地利用額　　　　　　１０００．０００変換レート　　　１．０００円","","","","","","","",""
"2020/07/07","SUICA MOBILE PAYMENT利用国JPN","本人","1回払い","1000","0","1000","1000","0","*"
"","現地利用額　　　　　　１０００．０００変換レート　　　１．０００円","","","","","","","",""
"2020/07/05","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","本人","1回払い","525","0","525","525","0","*"
"2020/07/04","ﾌｲﾂﾄｹｱﾃﾞﾎﾟ ｻﾌｱ-ﾚ","本人","1回払い","622","0","622","622","0","*"
"2020/07/04","ﾍﾟｲﾍﾟｲ ﾎﾟﾝﾊﾟﾄﾞｳﾙ","家族","1回払い","808","0","808","808","0","*"
"2020/07/04","ﾍﾟｲﾍﾟｲ ﾊﾝｷｭｳﾊﾝｼﾝ","家族","1回払い","280","0","280","280","0","*"
"2020/07/04","ﾏｸﾄﾞﾅﾙﾄﾞ","本人","1回払い","690","0","690","690","0","*"
"2020/07/02","KICKSTARTER KEYCHRON利用国USA","本人","1回払い","8429","0","8429","8429","0","*"
"","現地利用額　　　　　　　　７７．０００変換レート　１０９．４６８円","","","","","","","",""
"2020/07/02","APPLE COM BILL","本人","1回払い","130","0","130","130","0","*"
"2020/07/01","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","家族","1回払い","4268","0","4268","4268","0","*"
"2020/06/30","ＡＳＡＨＩネット","本人","1回払い","770","0","770","770","0","*"
