"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","7月支払金額","8月繰越残高","新規サイン"
"2021/06/29","MERCARI/AP利用国JPN","家族","1回払い","3400","0","3400","3400","0","*"
"","現地利用額　　　　　　３４００．０００変換レート　　　１．０００円","","","","","","","",""
"2021/06/28","APPLE COM BILL","家族","1回払い","480","0","480","480","0","*"
"2021/06/26","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","本人","1回払い","375","0","375","375","0","*"
"2021/06/19","ｺﾞ- ﾀｸｼ-ｱﾌﾟﾘ","本人","1回払い","1200","0","1200","1200","0","*"
"2021/06/17","ｺﾞ- ﾀｸｼ-ｱﾌﾟﾘ","本人","1回払い","800","0","800","800","0","*"
"2021/06/17","ｼﾖｳﾜﾀﾞｲｶﾞｸﾖｺﾊﾏｼﾎ","本人","1回払い","263590","0","263590","263590","0","*"
"2021/06/13","APPLE COM BILL","本人","1回払い","400","0","400","400","0","*"
"2021/06/11","ｺﾞｰ/ｼﾞｬﾊﾟﾝﾀｸｼｰ(ﾀ","本人","1回払い","1700","0","1700","1700","0","*"
"2021/06/01","ｼﾖｳﾜﾀﾞｲｶﾞｸﾖｺﾊﾏｼﾎ","家族","1回払い","8100","0","8100","8100","0","*"
"2021/05/31","ＡＳＡＨＩネット","本人","1回払い","770","0","770","770","0","*"
"2021/05/27","イオンリテール","家族","1回払い","2432","0","2432","2432","0","*"
