"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","5月支払金額","6月繰越残高","新規サイン"
"2021/04/30","ニトリ","家族","1回払い","702","0","702","702","0","*"
"2021/04/27","ｼﾖｳﾜﾀﾞｲｶﾞｸﾖｺﾊﾏｼﾎ","家族","1回払い","6100","0","6100","6100","0","*"
"2021/04/24","モバイル　Ｓｕｉｃａ","本人","1回払い","1000","0","1000","1000","0","*"
"2021/04/20","モバイル　Ｓｕｉｃａ","本人","1回払い","500","0","500","500","0","*"
"2021/04/20","モバイル　Ｓｕｉｃａ","本人","1回払い","1000","0","1000","1000","0","*"
"2021/04/20","SUICA MOBILE PAYMENT利用国JPN","家族","1回払い","5000","0","5000","5000","0","*"
"","現地利用額　　　　　　５０００．０００変換レート　　　１．０００円","","","","","","","",""
"2021/04/19","(ｶ) ﾆｼﾏﾂﾔﾁｴ-ﾝ","家族","1回払い","999","0","999","999","0","*"
"2021/04/15","ﾊﾟﾙｼｽﾃﾑｶﾅｶﾞﾜ(ｶﾆﾕ","本人","1回払い","1000","0","1000","1000","0","*"
"2021/04/14","ｺﾄﾞﾓﾝﾌﾟﾘﾝﾄ","本人","1回払い","250","0","250","250","0","*"
"2021/04/13","(ｶ) ﾆｼﾏﾂﾔﾁｴ-ﾝ","家族","1回払い","2025","0","2025","2025","0","*"
"2021/04/13","ｼﾖｳﾜﾀﾞｲｶﾞｸﾖｺﾊﾏｼﾎ","家族","1回払い","4630","0","4630","4630","0","*"
"2021/04/13","APPLE COM BILL","本人","1回払い","400","0","400","400","0","*"
"2021/04/12","(ｶ) ﾆｼﾏﾂﾔﾁｴ-ﾝ","家族","1回払い","2515","0","2515","2515","0","*"
"2021/04/12","モザイクモール港北","家族","1回払い","1230","0","1230","1230","0","*"
"2021/04/11","イオンリテール","本人","1回払い","4136","0","4136","4136","0","*"
"2021/04/10","モザイクモール港北","家族","1回払い","1130","0","1130","1130","0","*"
"2021/04/10","ﾄﾘﾀﾏ*CO","本人","1回払い","1180","0","1180","1180","0","*"
"2021/04/07","APPLE COM BILL","本人","1回払い","250","0","250","250","0","*"
"2021/04/06","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","家族","1回払い","2480","0","2480","2480","0","*"
"2021/04/06","イオンリテール","家族","1回払い","2320","0","2320","2320","0","*"
"2021/04/04","モザイクモール港北","家族","1回払い","2048","0","2048","2048","0","*"
"2021/04/03","ｶﾂｺｳﾎﾞｳﾜｺｳｱﾕﾐｶﾞｵ","家族","1回払い","3110","0","3110","3110","0","*"
"2021/04/02","モザイクモール港北","家族","1回払い","5244","0","5244","5244","0","*"
"2021/03/31","ＡＳＡＨＩネット","本人","1回払い","770","0","770","770","0","*"
