"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","10月支払金額","11月繰越残高","新規サイン"
"2020/09/30","モザイクモール港北","家族","1回払い","4589","0","4589","4589","0","*"
"2020/09/30","ﾓﾊﾞｲﾙｽｲｶ","本人","1回払い","1000","0","1000","1000","0","*"
"2020/09/27","ﾄﾘﾀﾏ*CO","本人","1回払い","968","0","968","968","0","*"
"2020/09/27","ｸﾘｴｲﾄ","家族","1回払い","379","0","379","379","0","*"
"2020/09/27","モザイクモール港北","本人","1回払い","1188","0","1188","1188","0","*"
"2020/09/26","ﾄﾘﾀﾏ*CO","本人","1回払い","1430","0","1430","1430","0","*"
"2020/09/26","ｷﾞﾖｳｻﾞﾉｵｳｼﾖｳﾓｻﾞｲ","家族","1回払い","847","0","847","847","0","*"
"2020/09/26","APPLE COM BILL","家族","1回払い","130","0","130","130","0","*"
"2020/09/25","ニトリ","家族","1回払い","2054","0","2054","2054","0","*"
"2020/09/21","SUICA MOBILE PAYMENT利用国JPN","本人","1回払い","1000","0","1000","1000","0","*"
"","現地利用額　　　　　　１０００．０００変換レート　　　１．０００円","","","","","","","",""
"2020/09/21","SUICA MOBILE PAYMENT利用国JPN","家族","1回払い","1000","0","1000","1000","0","*"
"","現地利用額　　　　　　１０００．０００変換レート　　　１．０００円","","","","","","","",""
"2020/09/20","SUICA MOBILE PAYMENT利用国JPN","本人","1回払い","1000","0","1000","1000","0","*"
"","現地利用額　　　　　　１０００．０００変換レート　　　１．０００円","","","","","","","",""
"2020/09/20","SUICA MOBILE PAYMENT利用国JPN","本人","1回払い","1000","0","1000","1000","0","*"
"","現地利用額　　　　　　１０００．０００変換レート　　　１．０００円","","","","","","","",""
"2020/09/20","SUICA MOBILE PAYMENT利用国JPN","家族","1回払い","5000","0","5000","5000","0","*"
"","現地利用額　　　　　　５０００．０００変換レート　　　１．０００円","","","","","","","",""
"2020/09/19","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","家族","1回払い","3295","0","3295","3295","0","*"
"2020/09/19","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","家族","1回払い","2889","0","2889","2889","0","*"
"2020/09/19","モザイクモール港北","家族","1回払い","1640","0","1640","1640","0","*"
"2020/09/19","ｺｳﾎｸｺｳﾓﾝｸﾘﾆﾂｸ","家族","1回払い","930","0","930","930","0","*"
"2020/09/19","イオンリテール","家族","1回払い","1915","0","1915","1915","0","*"
"2020/09/17","ｶﾂｺｳﾎﾞｳﾜｺｳｱﾕﾐｶﾞｵ","家族","1回払い","3010","0","3010","3010","0","*"
"2020/09/17","ニトリ","家族","1回払い","1017","0","1017","1017","0","*"
"2020/09/17","SUICA MOBILE PAYMENT利用国JPN","本人","1回払い","1000","0","1000","1000","0","*"
"","現地利用額　　　　　　１０００．０００変換レート　　　１．０００円","","","","","","","",""
"2020/09/13","ニトリ","家族","1回払い","1613","0","1613","1613","0","*"
"2020/09/11","SUICA MOBILE PAYMENT利用国JPN","本人","1回払い","1000","0","1000","1000","0","*"
"","現地利用額　　　　　　１０００．０００変換レート　　　１．０００円","","","","","","","",""
"2020/09/09","モザイクモール港北","家族","1回払い","560","0","560","560","0","*"
"2020/09/09","モザイクモール港北","家族","1回払い","21340","0","21340","21340","0","*"
"2020/09/09","ﾏｸﾄﾞﾅﾙﾄﾞ","家族","1回払い","200","0","200","200","0","*"
"2020/09/08","ブックオフオンライン","本人","1回払い","1359","0","1359","1359","0","*"
"2020/09/05","モザイクモール港北","家族","1回払い","1118","0","1118","1118","0","*"
"2020/09/04","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","本人","1回払い","3600","0","3600","3600","0","*"
"2020/09/04","ﾆﾎﾝｺﾞﾉｳﾘﾖｸｼｹﾝ","家族","1回払い","5500","0","5500","5500","0","*"
"2020/09/02","APPLE COM BILL","本人","1回払い","130","0","130","130","0","*"
"2020/09/02","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","家族","1回払い","1694","0","1694","1694","0","*"
"2020/09/02","SUICA MOBILE PAYMENT利用国JPN","本人","1回払い","1000","0","1000","1000","0","*"
"","現地利用額　　　　　　１０００．０００変換レート　　　１．０００円","","","","","","","",""
"2020/09/01","SUICA MOBILE PAYMENT利用国JPN","本人","1回払い","1000","0","1000","1000","0","*"
"","現地利用額　　　　　　１０００．０００変換レート　　　１．０００円","","","","","","","",""
"2020/09/01","SUICA MOBILE PAYMENT利用国JPN","本人","1回払い","1000","0","1000","1000","0","*"
"","現地利用額　　　　　　１０００．０００変換レート　　　１．０００円","","","","","","","",""
"2020/08/31","ＡＳＡＨＩネット","本人","1回払い","770","0","770","770","0","*"
