"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","12月支払金額","1月繰越残高","新規サイン"
"2020/11/29","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","本人","1回払い","1910","0","1910","1910","0","*"
"2020/11/29","ﾄﾘﾀﾏ*CO","本人","1回払い","462","0","462","462","0","*"
"2020/11/29","ﾏｸﾄﾞﾅﾙﾄﾞ","家族","1回払い","610","0","610","610","0","*"
"2020/11/29","ﾏｸﾄﾞﾅﾙﾄﾞ","家族","1回払い","630","0","630","630","0","*"
"2020/11/26","APPLE COM BILL","家族","1回払い","130","0","130","130","0","*"
"2020/11/23","ﾒｶﾞﾄﾞﾝ･ｷﾎ-ﾃｱｵﾊﾞﾀ","本人","1回払い","3576","0","3576","3576","0","*"
"2020/11/23","ﾒｶﾞﾄﾞﾝ･ｷﾎ-ﾃｱｵﾊﾞﾀ","本人","1回払い","1628","0","1628","1628","0","*"
"2020/11/23","ﾓﾊﾞｲﾙｽｲｶ","本人","1回払い","1000","0","1000","1000","0","*"
"2020/11/23","ﾃﾝﾌﾟﾗ ｺﾞﾝﾊﾟﾁ ｱｻﾞ","家族","1回払い","3751","0","3751","3751","0","*"
"2020/11/23","SUICA MOBILE PAYMENT利用国JPN","家族","1回払い","5000","0","5000","5000","0","*"
"","現地利用額　　　　　　５０００．０００変換レート　　　１．０００円","","","","","","","",""
"2020/11/22","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","本人","1回払い","1930","0","1930","1930","0","*"
"2020/11/22","モザイクモール港北","家族","1回払い","2541","0","2541","2541","0","*"
"2020/11/22","イオンリテール","本人","1回払い","2418","0","2418","2418","0","*"
"2020/11/15","ﾄﾘﾀﾏ*CO","本人","1回払い","462","0","462","462","0","*"
"2020/11/15","ﾓﾊﾞｲﾙｽｲｶ","本人","1回払い","1000","0","1000","1000","0","*"
"2020/11/15","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","家族","1回払い","637","0","637","637","0","*"
"2020/11/15","ﾓｽﾊﾞ-ｶﾞ-","本人","1回払い","907","0","907","907","0","*"
"2020/11/14","ｶﾂｺｳﾎﾞｳﾜｺｳｱﾕﾐｶﾞｵ","本人","1回払い","3060","0","3060","3060","0","*"
"2020/11/10","ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ","本人","1回払い","2020","0","2020","2020","0","*"
"2020/11/10","ｺｳﾎｸｺｳﾓﾝｸﾘﾆﾂｸ","家族","1回払い","840","0","840","840","0","*"
"2020/11/08","ﾓﾊﾞｲﾙｽｲｶ","本人","1回払い","1000","0","1000","1000","0","*"
"2020/11/07","ﾜｼﾖｸﾚｽﾄﾗﾝ ﾃﾝｸﾞ ｺ","本人","1回払い","3810","0","3810","3810","0","*"
"2020/11/03","ﾏﾙｴﾂｺｳﾎｸﾆﾕｰﾀｳﾝﾅｶ","家族","1回払い","178","0","178","178","0","*"
"2020/11/02","AMZN DIGITAL*286QN9P利用国USA","本人","1回払い","105","0","105","105","0","*"
"","現地利用額　　　　　　　　　０．９９０変換レート　１０６．０６１円","","","","","","","",""
"2020/11/02","APPLE COM BILL","本人","1回払い","130","0","130","130","0","*"
"2020/11/01","ﾓﾊﾞｲﾙｽｲｶ","本人","1回払い","1000","0","1000","1000","0","*"
"2020/10/31","ＡＳＡＨＩネット","本人","1回払い","770","0","770","770","0","*"
