,date,where,whose,totalPayment,info,category,type,cycle,note
0,2020-06-27,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,2710.0,Northport mall,Unknown,Rakuten,202007,Manual confirmed unclear transaction
1,2020-06-27,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,2631.0,Northport mall,Unknown,Rakuten,202007,Manual confirmed unclear transaction
2,2020-06-25,モザイクモール港北,Home,410.0,Mosaic Mall,Unknown,Rakuten,202007,Manual confirmed unclear transaction
3,2020-06-25,モザイクモール港北,Home,410.0,Mosaic Mall,Unknown,Rakuten,202007,Manual confirmed unclear transaction
4,2020-06-24,ﾜ-ﾙﾄﾞｵﾝﾗｲﾝｽﾄｱ,Vit,2079.0,World Online store,Fashion,Rakuten,202007,Manual confirmed unclear transaction
5,2020-06-23,イオンリテール,Home,3275.0,AEON,Kids,Rakuten,202007,Manual confirmed unclear transaction
6,2020-06-22,イオンリテール,Home,269.0,AEON,Kids,Rakuten,202007,Manual confirmed unclear transaction
7,2020-06-21,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,2530.0,Northport mall,Unknown,Rakuten,202007,Manual confirmed unclear transaction
8,2020-06-18,モザイクモール港北,Home,641.0,Mosaic Mall,Unknown,Rakuten,202007,Manual confirmed unclear transaction
9,2020-06-16,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,529.0,Northport mall,Unknown,Rakuten,202007,Manual confirmed unclear transaction
10,2020-06-14,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,3990.0,Northport mall,Unknown,Rakuten,202007,Manual confirmed unclear transaction
11,2020-06-14,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,1463.0,Northport mall,Unknown,Rakuten,202007,Manual confirmed unclear transaction
12,2020-06-14,ﾍﾟｲﾍﾟｲ ﾕﾆｸﾛ,Vit,3289.0,Paypay Uniqlo,Fashion,Rakuten,202007,Manual confirmed unclear transaction
13,2020-06-14,イオンリテール,Home,1524.0,AEON,Kids,Rakuten,202007,Manual confirmed unclear transaction
14,2020-06-08,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,635.0,Northport mall,Unknown,Rakuten,202007,Manual confirmed unclear transaction
15,2020-06-06,モザイクモール港北,Home,530.0,Mosaic Mall,Unknown,Rakuten,202007,Manual confirmed unclear transaction
16,2020-06-06,モザイクモール港北,Home,614.0,Mosaic Mall,Unknown,Rakuten,202007,Manual confirmed unclear transaction
17,2020-06-06,イオンリテール,Home,2069.0,AEON,Kids,Rakuten,202007,Manual confirmed unclear transaction
18,2020-06-01,AMZN DIGITAL*MY4KC9F利用国LUX,Meo,109.0,Manga,Entertainment,Rakuten,202007,Confirmed new transaction data
19,2020-05-27,イオンリテール,Home,1076.0,AEON,Kids,Rakuten,202007,Manual confirmed unclear transaction
