,date,where,whose,totalPayment,info,category,type,cycle,note
0,2020-11-29,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,1910.0,Northport mall,Unknown,Rakuten,202012,Manual confirmed unclear transaction
1,2020-11-22,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,1930.0,Northport mall,Unknown,Rakuten,202012,Manual confirmed unclear transaction
2,2020-11-22,モザイクモール港北,Home,2541.0,Mosaic Mall,Unknown,Rakuten,202012,Manual confirmed unclear transaction
3,2020-11-22,イオンリテール,Home,2418.0,AEON,Household Supplies,Rakuten,202012,Manual confirmed unclear transaction
4,2020-11-15,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,637.0,Northport mall,Unknown,Rakuten,202012,Manual confirmed unclear transaction
5,2020-11-10,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,2020.0,Northport mall,Unknown,Rakuten,202012,Manual confirmed unclear transaction
6,2020-11-02,AMZN DIGITAL*286QN9P利用国USA,Meo,105.0,Manga,Entertainment,Rakuten,202012,Confirmed new transaction data
