,date,where,whose,totalPayment,info,category,type,cycle,note
0,2020-09-30,モザイクモール港北,Home,4589.0,Mosaic Mall,Unknown,Rakuten,202010,Manual confirmed unclear transaction
1,2020-09-27,モザイクモール港北,Home,1188.0,Mosaic Mall,Unknown,Rakuten,202010,Manual confirmed unclear transaction
2,2020-09-19,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,3295.0,Northport mall,Unknown,Rakuten,202010,Manual confirmed unclear transaction
3,2020-09-19,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,2889.0,Northport mall,Unknown,Rakuten,202010,Manual confirmed unclear transaction
4,2020-09-19,モザイクモール港北,Home,1640.0,Mosaic Mall,Unknown,Rakuten,202010,Manual confirmed unclear transaction
5,2020-09-19,イオンリテール,Home,1915.0,AEON,Household Supplies,Rakuten,202010,Manual confirmed unclear transaction
6,2020-09-09,モザイクモール港北,Home,560.0,Mosaic Mall,Unknown,Rakuten,202010,Manual confirmed unclear transaction
7,2020-09-09,モザイクモール港北,Home,21340.0,Mosaic Mall,Unknown,Rakuten,202010,Manual confirmed unclear transaction
8,2020-09-05,モザイクモール港北,Home,1118.0,Mosaic Mall,Unknown,Rakuten,202010,Manual confirmed unclear transaction
9,2020-09-04,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,3600.0,Northport mall,Unknown,Rakuten,202010,Manual confirmed unclear transaction
10,2020-09-02,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,1694.0,Northport mall,Unknown,Rakuten,202010,Manual confirmed unclear transaction
11,2020-09-21,Suica,Home,1000.0,Suica duplicate,Transportation,Rakuten,202010,Manual confirmed unclear transaction
12,2020-09-01,Suica,Home,1000.0,Suica duplicate,Transportation,Rakuten,202010,Manual confirmed unclear transaction
13,2020-09-20,Suica,Home,1000.0,Suica duplicate,Transportation,Rakuten,202010,Manual confirmed unclear transaction
