,date,where,whose,totalPayment,info,category,type,cycle,note
0,2020-04-04,ﾍﾟｲﾍﾟｲ ﾀﾏﾌﾟﾗｰｻﾞ ﾃﾗｽ,Home,99.0,Paypay Tamaplaza Terrace,Unknown,Yahoo,202005,Manually confirmed unclear transaction
1,2020-04-19,ﾍﾟｲﾍﾟｲ ﾄｳｷｭｳｽﾄｱ,Home,847.0,Paypay Tokyu Store,Unknown,Yahoo,202005,Manually confirmed unclear transaction
