,date,where,whose,totalPayment,info,category,type,cycle,note
0,2020-05-31,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,2530.0,Northport mall,Unknown,Rakuten,202006,Manual confirmed unclear transaction
1,2020-05-24,ｴ-ﾋﾞ-ｼ-ﾏ-ﾄﾄﾞﾂﾄﾈﾂ,Meo,5259.0,ABC Mart - Shoes Vit,Fashion,Rakuten,202006,Manual confirmed unclear transaction
2,2020-05-23,ユニクロジーユーオンライン,Vit,6094.0,Uniqlo Online,Fashion,Rakuten,202006,Manual confirmed unclear transaction
3,2020-05-21,モザイクモール港北,Home,1835.0,Mosaic Mall,Unknown,Rakuten,202006,Manual confirmed unclear transaction
4,2020-05-18,AMZN DIGITAL*M77IZ9L利用国LUX,Meo,656.0,Manga 1,Entertainment,Rakuten,202006,Confirmed new transaction data
5,2020-05-15,AMZN DIGITAL*MC09K5R利用国LUX,Meo,108.0,Manga 2,Entertainment,Rakuten,202006,Confirmed new transaction data
6,2020-05-15,AMZN DIGITAL*MC1WJ2W利用国LUX,Meo,108.0,Manga 3,Entertainment,Rakuten,202006,Confirmed new transaction data
7,2020-05-15,AMZN DIGITAL*MC12Z3D利用国LUX,Meo,108.0,Manga 4,Entertainment,Rakuten,202006,Confirmed new transaction data
8,2020-05-15,AMZN DIGITAL*MC6LR2W利用国LUX,Meo,108.0,Manga 5,Entertainment,Rakuten,202006,Confirmed new transaction data
9,2020-05-15,AMZN DIGITAL*MC7VQ3R利用国LUX,Meo,108.0,Manga 6,Entertainment,Rakuten,202006,Confirmed new transaction data
10,2020-05-15,AMZN DIGITAL*MC77J7S利用国LUX,Meo,108.0,Manga 7,Entertainment,Rakuten,202006,Confirmed new transaction data
11,2020-05-15,AMZN DIGITAL*MC79E7R利用国LUX,Meo,561.0,Manga 8,Entertainment,Rakuten,202006,Confirmed new transaction data
12,2020-05-15,AMZN DIGITAL*MC8XG3R利用国LUX,Meo,108.0,Manga 9,Entertainment,Rakuten,202006,Confirmed new transaction data
13,2020-05-15,AMZN DIGITAL*MC9KA1D利用国LUX,Meo,108.0,Manga 10,Entertainment,Rakuten,202006,Confirmed new transaction data
14,2020-05-15,AMZN DIGITAL*MC9204R利用国LUX,Meo,108.0,Manga 11,Entertainment,Rakuten,202006,Confirmed new transaction data
15,2020-05-14,AMZN DIGITAL*MC58I78利用国USA,Meo,107.0,Manga 12,Entertainment,Rakuten,202006,Confirmed new transaction data
16,2020-05-14,AMZN DIGITAL*MC80599利用国USA,Meo,107.0,Manga 13,Entertainment,Rakuten,202006,Confirmed new transaction data
17,2020-05-14,AMZN DIGITAL*MC90Q69利用国LUX,Meo,108.0,Manga 14,Entertainment,Rakuten,202006,Confirmed new transaction data
18,2020-05-10,APPLE JAPAN INC,Meo,21780.0,Apple JAPAN Store - Apple Watch,Personal,Rakuten,202006,Manual confirmed unclear transaction
19,2020-05-03,モザイクモール港北,Home,410.0,Mosaic Mall,Unknown,Rakuten,202006,Manual confirmed unclear transaction
20,2020-05-02,ユニクロジーユーオンライン,Vit,5885.0,Uniqlo Online,Fashion,Rakuten,202006,Manual confirmed unclear transaction
21,2020-05-01,ｴ-ﾋﾞ-ｼ-ﾏ-ﾄﾄﾞﾂﾄﾈﾂ,Meo,10060.0,ABC Mart - Shoes Vit,Fashion,Rakuten,202006,Manual confirmed unclear transaction
22,2020-05-01,ｴ-ﾋﾞ-ｼ-ﾏ-ﾄﾄﾞﾂﾄﾈﾂ,Meo,13529.0,ABC Mart - Shoes Meo Nancy,Fashion,Rakuten,202006,Manual confirmed unclear transaction
