,date,where,whose,totalPayment,info,category,type,cycle,note
0,2021-05-30,SPOTIFY利用国SWE,Home,980.0,Spotify,Entertainment,Rakuten,202106,Free 3 months
1,2021-05-27,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Vit,1040.0,Northport mall - MUJI,Fashion,Rakuten,202106,Manual confirmed unclear transaction
2,2021-05-25,ﾊﾟﾙｼｽﾃﾑｶﾅｶﾞﾜ(ﾀｸﾊ,Home,99.0,PAL System,Groceries,Rakuten,202106,Confirmed new transaction data
3,2021-05-25,ﾊﾟﾙｼｽﾃﾑｶﾅｶﾞﾜﾕﾒｺ-,Home,200.0,PAL System,Groceries,Rakuten,202106,Confirmed new transaction data
4,2021-05-23,ｻﾉﾌﾟﾚﾐｱﾑ ｱｳﾄﾚﾂﾄ,Home,520.0,"Sano Premium Outlets - Lunch ",Eating Out,Rakuten,202106,Confirmed new transaction data
5,2021-05-23,ｻﾉﾌﾟﾚﾐｱﾑ ｱｳﾄﾚﾂﾄ,Home,750.0,"Sano Premium Outlets - Lunch ",Eating Out,Rakuten,202106,Confirmed new transaction data
6,2021-05-23,ｻﾉﾌﾟﾚﾐｱﾑ ｱｳﾄﾚﾂﾄ,Home,640.0,"Sano Premium Outlets - Lunch ",Unknown,Rakuten,202106,Confirmed new transaction data
7,2021-05-23,ｻﾉﾌﾟﾚﾐｱﾑ ｱｳﾄﾚﾂﾄ,Home,3406.0,Sano Premium Outlets,Unknown,Rakuten,202106,Confirmed new transaction data
8,2021-05-23,ﾀﾁｸﾞｲﾄﾞｺﾛﾔﾀｲﾚﾝ,Home,1520.0,Food stall,Eating Out,Rakuten,202106,Confirmed new transaction data
9,2021-05-23,ｱｼｶｶﾞﾌﾗﾜ-ﾊﾟ-ｸ ｶｷ,Home,2260.0,Ashikaga Park - Catus,Furniture,Rakuten,202106,Confirmed new transaction data
10,2021-05-23,ｱｼｶｶﾞﾌﾗﾜ-ﾊﾟ-ｸ ﾌﾞ,Home,1010.0,Lunch,Eating Out,Rakuten,202106,Confirmed new transaction data
11,2021-05-23,ｱｼｶｶﾞﾌﾗﾜ-ﾊﾟ-ｸ ｲﾝ,Home,1150.0,Lunch,Eating Out,Rakuten,202106,Confirmed new transaction data
12,2021-05-23,ｱｼｶｶﾞﾌﾗﾜ-ﾊﾟ-ｸ ｶｷ,Home,3080.0,Ashikaga Park - Totoro hat,Kids,Rakuten,202106,Confirmed new transaction data
13,2021-05-22,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,"Home
",1980.0,Northport mall - Dinner,Eating Out,Rakuten,202106,Manual confirmed unclear transaction
14,2021-05-22,モザイクモール港北,Home,4400.0,Mosaic Mall - Haircut Nancy,Kids,Rakuten,202106,Manual confirmed unclear transaction
15,2021-05-12,イオンリテール,Home,3323.0,AEON,Kids,Rakuten,202106,Manual confirmed unclear transaction
16,2021-05-03,モザイクモール港北,Home,580.0,Mosaic Mall - Lunch,Eating Out,Rakuten,202106,Manual confirmed unclear transaction
17,2021-05-03,モザイクモール港北,Home,510.0,Mosaic Mall - Sweets,Eating Out,Rakuten,202106,Manual confirmed unclear transaction
18,2021-04-29,イオンリテール,Home,3093.0,AEON,Kids,Rakuten,202106,Manual confirmed unclear transaction
19,2021-05-27,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,780.0,Northport mall - MUJI,Kids,Rakuten,202106,Manual confirmed unclear transaction
