,date,where,whose,totalPayment,info,category,type,cycle,note
0,2021-05-02,ﾍﾟｲﾍﾟｲ ｺｳﾎｸﾄｳｷｭｳ,Home,1553.0,Paypay Kohoku Tokyu - KALDI,Groceries,Yahoo,202106,Manually confirmed unclear transaction
1,2021-05-02,ﾍﾟｲﾍﾟｲ ｺｳﾎｸﾄｳｷｭｳ,Home,2910.0,Paypay Kohoku Tokyu - WAKO,Eating Out,Yahoo,202106,Manually confirmed unclear transaction
2,2021-05-15,ﾍﾟｲﾍﾟｲ ﾊﾞｹｯﾄ,Home,2665.0,Paypay BAGET,Eating Out,Yahoo,202106,New_Data
3,2021-05-21,ﾍﾟｲﾍﾟｲ ｺｳﾎｸﾄｳｷｭｳ,Home,783.0,Paypay Kohoku Tokyu - KALDI,Groceries,Yahoo,202106,Manually confirmed unclear transaction
4,2021-05-22,ﾍﾟｲﾍﾟｲ ﾊﾆｰｽﾞ,Vit,480.0,Paypay Honeys,Fashion,Yahoo,202106,New_Data
5,2021-05-22,ﾍﾟｲﾍﾟｲ ｼﾞｰﾕｰ,Vit,1990.0,Paypay GU,Fashion,Yahoo,202106,Manually confirmed unclear transaction
6,2021-05-27,ﾍﾟｲﾍﾟｲ ﾕﾆｸﾛ,Vit,1580.0,Paypay Uniqlo,Fashion,Yahoo,202106,Manually confirmed unclear transaction
