,date,where,whose,totalPayment,info,category,type,cycle,note
0,2021-03-20,モザイクモール港北,Home,1914.0,Hokkaido Mosaic,Groceries,Rakuten,202104,Confirmed new transaction data
1,2021-03-14,SPOTIFY利用国SWE,Meo,980.0,Spottify,Entertainment,Rakuten,202104,Confirmed new transaction data
2,2021-03-14,イオンリテール,Home,2168.0,Kid Republic,Kids,Rakuten,202104,Manual confirmed unclear transaction
3,2021-03-06,ｼﾔﾄﾚｰｾﾞ,Home,896.0,Bakery Minami,Groceries,Rakuten,202104,Confirmed new transaction data
4,2021-03-03,ﾜ-ﾙﾄﾞｵﾝﾗｲﾝｽﾄｱ,Vit,6700.0,World Online store,Fashion,Rakuten,202104,Manual confirmed unclear transaction
5,2021-03-02,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Vit,790.0,Muji,Fashion,Rakuten,202104,Manual confirmed unclear transaction
