,date,where,whose,totalPayment,info,category,type,cycle,note
0,2020-03-11,ﾍﾟｲﾍﾟｲ ｼﾞｰﾕｰ,Vit,2189.0,Paypay GU,Fashion,Yahoo,202004,Manually confirmed unclear transaction
1,2020-03-20,ﾍﾟｲﾍﾟｲ ﾕﾆｸﾛ,Vit,1298.0,Paypay Uniqlo,Fashion,Yahoo,202004,Manually confirmed unclear transaction
