,date,where,whose,totalPayment,info,category,type,cycle,note
0,2021-03-06,ﾍﾟｲﾍﾟｲ ｺｳﾎｸﾄｳｷｭｳ,Home,572.0,Paypay Starbuck,Eating Out,Yahoo,202104,Manually confirmed unclear transaction
1,2021-03-14,ﾍﾟｲﾍﾟｲ ﾗﾗﾎﾟｰﾄﾖｺﾊﾏ,Home,5140.0,Paypay Food Court Lalaport,Eating Out,Yahoo,202104,Manually confirmed unclear transaction
2,2021-03-14,ﾍﾟｲﾍﾟｲ ﾗﾗﾎﾟｰﾄﾖｺﾊﾏ,Home,750.0,Paypay Food Court Lalaport,Eating Out,Yahoo,202104,Manually confirmed unclear transaction
3,2021-03-28,ﾍﾟｲﾍﾟｲ ﾌﾞﾛﾝｺﾋﾞﾘｰ,Home,3256.0,Paypay Bronco,Eating Out,Yahoo,202104,New_Data
4,2021-03-29,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,Home,572.0,Maybe Starbuck,Eating Out,Yahoo,202104,Manually confirmed unclear transaction
5,2021-03-30,ﾍﾟｲﾍﾟｲ ﾕﾆｸﾛ,Vit,1000.0,Paypay Uniqlo,Fashion,Yahoo,202104,Manually confirmed unclear transaction
6,2021-03-30,ﾍﾟｲﾍﾟｲ ｺｳﾎｸﾄｳｷｭｳ,Home,1690.0,Paypay Tonkatsu,Eating Out,Yahoo,202104,Manually confirmed unclear transaction
