Name,Database,Source,Currency
HomeYB_Main,Home,YB1,JPY
HomeVCB,Home,VCB,VND
MomYB,Mom,YB1,JPY
MomVCB,Mom,VCB,VND
HomeUSD,Home,USD,USD
HomeCash,Home,Cash,JPY
HomeYB_Saving,Home,YB2,JPY
Paypay,Home,Paypay,JPY
MeoYB,Meo,YB2,JPY
MeoCash,Meo,Cash,JPY
VitYB,Vit,YB2,JPY
VitCash,Vit,Cash,JPY
Amazon,Credit,Amazon,JPY
Rakuten,Credit,Rakuten,JPY
Yahoo,Credit,Yahoo,JPY
