,date,where,whose,totalPayment,info,category,type,cycle,note
0,2020-01-03,ﾍﾟｲﾍﾟｲ ﾕﾆｸﾛ,本人*,1837.0,Paypay Uniqlo,Need_Confirmed,Yahoo,202002,Manually confirmed unclear transaction
1,2020-01-03,ﾍﾟｲﾍﾟｲ ﾕﾆｸﾛ,本人*,10978.0,Paypay Uniqlo,Need_Confirmed,Yahoo,202002,Manually confirmed unclear transaction
2,2020-01-08,ﾍﾟｲﾍﾟｲ ﾕﾆｸﾛ,本人*,1078.0,Paypay Uniqlo,Need_Confirmed,Yahoo,202002,Manually confirmed unclear transaction
3,2020-01-12,ﾍﾟｲﾍﾟｲ ﾕﾆｸﾛ,本人*,2277.0,Paypay Uniqlo,Need_Confirmed,Yahoo,202002,Manually confirmed unclear transaction
4,2020-01-18,ﾍﾟｲﾍﾟｲ ｺｳﾎｸﾄｳｷｭｳ,本人*,2717.0,Paypay Kohoku Tokyu,Need_Confirmed,Yahoo,202002,Manually confirmed unclear transaction
