,date,where,whose,totalPayment,info,category,type,cycle,note
0,2019-12-31,モザイクモール港北,家族,530.0,Mosaic Mall,Need_Confirmed,Rakuten,202001,Manual confirmed unclear transaction
1,2019-12-31,ﾕﾆｸﾛ ｼﾞ-ﾕ- ｵ,家族,649.0,Uniqlo,Need_Confirmed,Rakuten,202001,Manual confirmed unclear transaction
2,2019-12-31,ﾕﾆｸﾛ ｼﾞ-ﾕ- ｵ,家族,319.0,Uniqlo,Need_Confirmed,Rakuten,202001,Manual confirmed unclear transaction
3,2019-12-29,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,家族,2198.0,Northport mall,Need_Confirmed,Rakuten,202001,Manual confirmed unclear transaction
4,2019-12-27,ｶ)ｼﾞ-ﾕ-,家族,869.0,GU,Need_Confirmed,Rakuten,202001,Manual confirmed unclear transaction
5,2019-12-25,ﾀﾏﾌﾟﾗ-ｻﾞﾃﾗｽ,家族,891.0,TamaPlaza Terrace Mall,Need_Confirmed,Rakuten,202001,Manual confirmed unclear transaction
6,2019-12-18,ﾕﾆｸﾛ ｼﾞ-ﾕ- ｵ,家族,209.0,Uniqlo,Need_Confirmed,Rakuten,202001,Manual confirmed unclear transaction
7,2019-12-14,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,家族,2145.0,Northport mall,Need_Confirmed,Rakuten,202001,Manual confirmed unclear transaction
8,2019-12-13,イオンリテール,家族,507.0,AEON,Need_Confirmed,Rakuten,202001,Manual confirmed unclear transaction
9,2019-12-09,ｼﾞﾖｲﾅｽ,本人,1078.0,Joinus,Need_Confirmed,Rakuten,202001,Manual confirmed unclear transaction
10,2019-12-09,ﾉ-ｽﾎﾟ-ﾄ･ﾓ-ﾙ,家族,3339.0,Northport mall,Need_Confirmed,Rakuten,202001,Manual confirmed unclear transaction
11,2019-12-04,イオンリテール,家族,801.0,AEON,Need_Confirmed,Rakuten,202001,Manual confirmed unclear transaction
12,2019-11-27,イオンリテール,家族,1658.0,AEON,Need_Confirmed,Rakuten,202001,Manual confirmed unclear transaction
