,date,where,whose,totalPayment,info,category,type,cycle,note
0,2021-08-26,モザイクモール港北,家族,2822.0,Mosaic Mall,Need_Confirmed,Rakuten,202109,Manual confirmed unclear transaction
1,2021-08-24,ＪＲ東日本グループ　駅ビル,本人,1136.0,No_info,No_catefory,Rakuten,202109,Confirmed new transaction data
2,2021-08-23,VIMEO.COM利用国USA,本人,500.0,No_info,No_catefory,Rakuten,202109,Confirmed new transaction data
3,2021-08-16,ﾍﾟｲﾍﾟｲ ﾀﾏﾌﾟﾗｰｻﾞ,本人,3549.0,No_info,No_catefory,Rakuten,202109,Confirmed new transaction data
4,2021-08-16,モザイクモール港北,家族,1061.0,Mosaic Mall,Need_Confirmed,Rakuten,202109,Manual confirmed unclear transaction
5,2021-08-05,ﾍﾟｲﾍﾟｲ ｱｷﾝﾄﾞｽｼﾛｰ,本人,3894.0,No_info,No_catefory,Rakuten,202109,Confirmed new transaction data
6,2021-08-05,ﾊﾋﾟﾋﾟﾗﾝﾄﾞｺｳﾎ,本人,800.0,No_info,No_catefory,Rakuten,202109,Confirmed new transaction data
