,date,where,whose,totalPayment,info,category,type,note
0,2021-02-01,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,1780,Bookshelf,Furniture,Amazon,Manually confirmed
1,2021-02-09,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Vit,727,Perfume,Personal,Amazon,Manually confirmed
2,2021-02-09,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Meo,3722,Book for Minh Nhi,Personal,Amazon,Manually confirmed
3,2021-02-19,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,1380,ChukyuWoManabou Book,Education,Amazon,Manually confirmed
4,2021-02-24,ＮＴＴ東日本ご利用料金０２月分,Home,3300,Internet,Utilities,Amazon,Manually confirmed
5,2021-02-27,ＡＭＡＺＯＮ．ＣＯ．ＪＰ,Home,5520,Various Home Stuff,Household supplies,Amazon,Manually confirmed
