,date,where,whose,totalPayment,info,category,type,note
0,2021-02-04,ﾍﾟｲﾍﾟｲ ﾜｰﾙﾄﾞｺﾚﾂｨｵｰﾈ,Vit,429,Paypay World Collection One,Personal,Yahoo,No data so added to Vit
1,2021-02-20,ﾍﾟｲﾍﾟｲ ﾕﾆｸﾛ,Vit,550,Paypay Uniqlo,Personal,Yahoo,No data so added to Vit
2,2021-02-25,ﾍﾟｲﾍﾟｲ ﾕﾆｸﾛ,Vit,539,Paypay Uniqlo,Personal,Yahoo,No data so added to Vit
